x0,x1,x2,weight,indices
1.5380559,-0.9997893,-2.0052707,0.011403848,0
1.5664514,-1.077015,-1.9751127,0.031798396,1
1.5380559,-0.9997893,-1.9125195,0.012381677,2
1.4812642,-0.9997893,-1.8823613,0.011537471,3
1.4528674,-0.922564,-1.8197681,0.018572511,4
1.3960757,-0.922564,-1.7896099,0.011256069,5
1.3676802,-0.8453378,-1.7270176,0.015010321,6
1.3108872,-0.8453378,-1.6968585,0.01709509,7
1.2824911,-0.85229087,-1.6342663,0.030020647,8
1.2257,-0.7681126,-1.6041071,0.023637744,9
1.1973038,-0.8453378,-1.541515,0.010974667,10
1.1405109,-0.8453378,-1.5113567,0.011256069,11
1.1121154,-0.7681126,-1.4487636,1.2740463,12
1.0553236,-0.7681126,-1.4186054,0.020542325,13
1.0269269,-0.6908863,-1.3560132,0.013507281,14
1.0256315,-0.6405772,-1.3258541,0.06838062,15
0.94173896,-0.6136611,-1.2632618,0.01491429,16
0.97013456,-0.5364349,-1.2331027,0.015018205,17
0.8565505,-0.5364349,-1.1606494,0.015018205,18
0.8849473,-0.45920962,-1.1304913,0.033707526,19
0.77136326,-0.45920962,-1.0580379,0.013683253,20
0.7997588,-0.5364349,-1.0278797,0.026699029,21
0.68617415,-0.38198388,-0.9554264,0.013683253,22
0.71457034,-0.45920962,-0.9252673,0.020358011,23
0.6009869,-0.30475765,-0.85281396,0.012682039,24
0.6293831,-0.38198388,-0.8226558,0.030727396,25
0.43060994,-0.15030615,-0.6150347,0.27072555,26
0.480779,-0.73993003,-0.42373756,0.053440053,27
0.29069725,-0.071134694,-0.42373756,0.1877253,28
0.51579845,-0.22753239,-0.23244043,0.26994076,29
0.68617415,-0.38198388,-0.23244043,0.26582998,30
-0.33608332,-0.5364349,-0.23244043,0.12195293,31
-0.16570696,0.08137058,-0.23244043,0.08632624,32
0.16411367,0.098457195,-0.23244043,5.0274754,33
0.480779,1.4893855,-0.0411433,0.061661594,34
0.13649523,1.0881081,-0.0411433,0.052069794,35
1.6611804,-1.0074475,-0.0411433,0.18361452,36
0.5791464,-1.0074475,-0.0411433,0.07673442,37
0.2840454,-1.2749659,-0.0411433,0.07673442,38
-0.040074278,-1.0863694,-0.0411433,0.30282694,39
-0.060238346,-0.60617155,-0.0411433,0.061661594,40
0.014224149,0.12949573,-0.0411433,5.7550826,41
-1.437374,1.8014889,-0.0411433,0.052069794,42
-0.33608332,-1.4631443,0.15015475,0.3014567,43
-0.42127055,0.4674993,0.15015475,0.11510165,44
0.004669384,0.5447245,0.15015475,0.09591803,45
-0.16570696,0.2810469,0.15015475,4.178601,46
0.2602336,0.62195075,0.15015475,0.18498477,47
0.13687819,-0.07943265,0.15015475,0.64402115,48
0.43060994,0.0041453247,0.15015475,0.17950375,49
-0.3061547,-1.0074475,0.34145188,0.07673442,50
0.087311834,-0.20489414,0.34145188,0.20142786,51
-0.060238346,-0.07113518,0.34145188,0.09728829,52
0.33322942,0.19638178,0.34145188,0.057550825,53
-0.25354016,0.51528525,0.34145188,6.101757,54
-1.0930896,0.5976592,0.34145188,0.05892108,55
-0.7488052,-0.8736885,0.34145188,0.13154474,56
-1.273153,-1.3859185,0.532749,0.053440053,57
-1.0175887,-1.9264982,0.532749,0.050699532,58
-0.50645906,-0.073080905,0.532749,0.49740353,59
-0.25089422,-0.15030615,0.532749,0.46177688,60
-0.08051848,-0.15030615,0.532749,0.08221547,61
-0.25089422,0.15859632,0.532749,0.15620936,62
-0.42127055,0.3130478,0.532749,0.1356555,63
-0.5916475,0.4674993,0.532749,0.06303185,64
-0.6218865,0.7706538,0.532749,0.9619209,65
-0.09736873,0.4938555,0.532749,0.7659741,66
-0.3605431,0.9071898,0.532749,2.0636082,67
-1.0175887,0.699176,0.532749,0.08495598,68
-0.93239963,0.3130478,0.532749,0.061661594,69
-0.08051848,0.62195075,0.7240462,0.061661594,70
-0.16570696,0.39027306,0.7240462,0.11510165,71
-0.50645906,-0.073080905,0.7240462,0.050699532,72
0.004669384,0.08137058,0.7240462,0.049329273,73
-1.273153,0.3130478,0.7240462,0.056180567,74
-0.6768354,0.5447245,0.7240462,0.08632624,75
-0.8472111,0.699176,0.7240462,0.06029134,76
-0.33608332,0.5447245,0.7240462,0.09317752,77
-0.7764895,1.0022846,0.7240462,0.4192989,78
-0.5916475,1.0853047,0.7240462,0.050699532,79
-0.6768354,1.3169824,0.7240462,0.057550825,80
0.004669384,0.5447245,0.9153433,0.052069794,81
-1.0175887,1.0080795,0.9153433,0.09728829,82
-0.16570696,-0.073080905,0.9153433,0.09591803,83
-1.6139057,0.3130478,0.9153433,0.05892108,84
-0.8472111,1.4714339,0.9153433,0.09865855,85
0.08985787,0.62195075,1.1066413,0.069883145,86
-2.0114493,0.3130478,1.1066413,0.061661594,87
0.17504635,0.699176,1.2979385,0.09250323,88
-0.76202387,-0.15030615,1.2979385,0.31970412,89
-0.6768354,-0.38198388,1.2979385,0.24018382,90
0.2602336,0.62195075,1.5474899,0.093773484,91
0.17504635,0.8536275,1.7970414,1.0186456,92
0.94173896,0.3130478,1.7970414,0.1221623,93
-2.4013875,0.2787284,1.2920219,0.13990143,94
-2.7587793,0.016979897,1.5415733,0.13742606,95
-2.7144454,1.4302828,1.5415733,0.07275497,96
-3.4543543,6.488385,1.5415733,0.07275497,97
