x0,x1,x2,weight,indices
1.9747763,-0.74569666,-1.3495883,0.02379388,0
0.8777862,-0.5251426,-1.3495883,0.010472923,1
0.8777862,-0.9662508,-1.3495883,0.008145606,2
2.2796483,0.099853046,-1.3495883,0.026531404,3
0.8777862,-0.08403432,-1.3495883,0.010240191,4
-0.31062,3.6102467,-1.3495883,0.15767565,5
1.1825063,-1.73819,-1.3059229,0.015477095,6
-0.73722637,-1.1316664,-1.3059229,0.026733162,7
0.8168428,-0.16554712,-1.3059229,0.079636686,8
0.6340103,2.672892,-1.3059229,0.031235592,9
0.8689737,0.020927537,-1.2152954,0.6414552,10
0.6035382,-0.24944997,-1.2152954,0.83787364,11
0.6035382,2.176645,-1.2152954,0.016039899,12
0.8168428,0.2467968,-1.17163,0.015758496,13
0.69434303,-0.14101708,-1.17163,1.71247,14
0.72542655,1.4047059,-1.17163,0.27507016,15
1.2739213,0.96359754,-1.17163,0.018572511,16
0.51212335,-1.407359,-1.17163,0.054591935,17
0.6949551,-0.4148655,-1.0810027,0.12578656,18
0.9692018,-0.24944997,-1.0810027,0.028984375,19
0.8777862,-0.54061395,-1.0810027,0.3783446,20
0.51212335,-0.8559737,-1.0810027,0.012381677,21
0.3292909,0.13651982,-1.0810027,0.05374773,22
0.6035382,0.19165835,-1.0810027,0.020260924,23
0.6771155,-0.07327447,-1.0810027,4.5257835,24
1.2434491,1.0187362,-1.0810027,0.018009711,25
0.9996739,-0.19431135,-1.0373373,0.03798923,26
0.95482564,-0.38781482,-1.0373373,0.061064176,27
0.8168428,-0.63541955,-1.0373373,0.038833436,28
0.2683474,-0.8559737,-1.0373373,0.023074942,29
-0.28014725,-1.1868049,-1.0373373,0.011818872,30
0.99967456,0.577628,-1.0373373,0.037145022,31
1.0321215,0.2272263,-1.0373373,0.049245298,32
0.72542655,0.4122123,-1.0373373,0.02645176,33
0.54259545,0.4122123,-1.0373373,0.06556661,34
0.74548817,0.22244115,-1.0373373,0.0816065,35
0.6327808,-0.0832923,-1.0373373,6.9801702,36
0.17693119,-0.13917294,-1.0373373,0.5212967,37
-0.14395808,-0.0018897965,-1.0373373,0.03123559,38
1.2739213,3.3896933,-1.0373373,0.008723454,39
0.9692018,-0.24944997,-0.9467112,0.03419018,40
0.51212335,-0.74569666,-0.9467112,0.050034408,41
1.2434491,-0.8559737,-0.9467112,0.015010321,42
1.2434491,0.35707378,-0.9467112,0.02460025,43
-0.12778823,-0.35972694,-0.9467112,0.054591935,44
0.14645912,0.908459,-0.9467112,0.05571754,45
0.42070714,0.30193534,-0.9467112,0.009286256,46
0.6035382,0.35913518,-0.9467112,0.04108465,47
0.8777862,0.577628,-0.9467112,0.008723454,48
0.592188,-0.069496624,-0.9467112,13.951192,49
0.45117852,-1.8484671,-0.9467112,0.010974667,50
0.99967456,-0.30458847,-0.90304446,0.025434157,51
1.6395855,0.19165835,-0.90304446,0.044614013,52
1.3154411,0.32697853,-0.90304446,0.14760152,53
0.4063736,-0.57044315,-0.90304446,0.19979522,54
-0.0059005925,-1.3522205,-0.90304446,0.017728308,55
-0.92005885,-1.2419434,-0.90304446,0.06050137,56
0.72542655,0.96359754,-0.90304446,0.065848,57
0.45117852,0.6879051,-0.90304446,0.009849059,58
0.9994814,0.22555335,-0.90304446,0.18797636,59
0.72542655,0.4122123,-0.90304446,0.015758496,60
0.5767062,-0.06723003,-0.90304446,12.698255,61
-0.0059005925,0.30193534,-0.90304446,0.010130462,62
-0.18873172,0.30193534,-0.90304446,0.026733162,63
-0.18873172,1.4047059,-0.90304446,0.047275487,64
-0.09731548,1.1290133,-0.90304446,0.03798923,65
1.2644099,-0.40222302,-0.8124184,0.17637129,66
1.7005283,-0.47000402,-0.8124184,0.0546209,67
2.2794957,-2.8409607,-0.8124184,0.015427276,68
-1.4990263,-1.1868049,-0.8124184,0.009286256,69
0.8777862,1.0187362,-0.8124184,0.018009711,70
0.14645912,0.46735093,-0.8124184,0.03658222,71
0.9692018,0.63276637,-0.8124184,0.023919148,72
0.9221536,0.22003548,-0.8124184,0.017446905,73
0.5310687,-0.048187334,-0.8124184,13.064005,74
1.1520343,0.30193534,-0.8124184,0.015477095,75
-0.7676991,-0.30458847,-0.8124184,0.04418007,76
-0.6762829,1.5149829,-0.8124184,0.047275487,77
1.2739213,-1.0213894,-0.7687516,0.08839412,78
1.5481685,0.2467968,-0.7687516,0.08464154,79
0.2683474,-0.5251426,-0.7687516,0.02954718,80
-0.3715635,-0.13917294,-0.7687516,0.0816065,81
0.35976365,-0.8008352,-0.7687516,0.026733162,82
0.99967456,0.46735093,-0.7687516,0.025888957,83
0.45117852,0.79818213,-0.7687516,0.06669221,84
0.54259545,0.63276637,-0.7687516,0.054873332,85
1.0910895,0.08138128,-0.7687516,0.008442052,86
