x0,x1,x2,weight,indices
1.3817662,0.89019775,-2.487291,0.03490974,0
1.3817662,0.9567039,-2.3514545,0.085124016,1
1.7841365,-0.34016517,-2.2614524,0.06894342,2
1.7266554,-0.37341833,-2.1935341,0.07527497,3
1.6883342,-0.43992436,-2.079782,0.06190838,4
1.7266554,-0.43992436,-2.0576982,0.023919148,5
0.48122278,-0.5396835,-2.0118642,0.041506752,6
1.0943589,0.7904386,-1.943946,0.04080325,7
1.0344112,0.77792764,-1.7715845,0.06341019,8
1.5542108,-0.5396835,-1.7715845,0.07258799,9
0.7494697,0.5909204,-1.7185297,0.07425668,10
1.2824029,0.84141296,-1.3291941,0.2640567,11
0.5522897,1.1869888,-1.3291941,0.21327657,12
0.4527288,0.78381705,-1.3291941,0.11510164,13
0.7514115,0.95660496,-1.3291941,0.34530494,14
-0.04507606,-0.08012264,-1.3291941,0.24712999,15
0.4527288,0.55343294,-1.3291941,0.32499292,16
0.2825652,0.09266508,-1.3291941,0.38931435,17
0.4527288,0.3230492,-1.3291941,0.17265247,18
0.7655533,0.5939801,-1.3291941,9.8158,19
0.6518503,0.3230492,-1.3291941,0.57550824,20
0.61866385,-1.1168503,-1.3291941,0.118486986,21
-2.368163,0.11186382,-1.3291941,0.294811,22
-0.45764238,1.3557404,-1.1891143,7.625484,23
0.57702476,0.9567039,-1.1891143,0.30806616,24
0.43591115,0.77231354,-1.1891143,0.50441605,25
1.0368772,1.0232099,-1.1891143,0.128643,26
0.7065877,0.5459025,-1.1891143,25.29528,27
1.113343,0.71294963,-1.1891143,0.7481607,28
0.45136273,0.32467982,-1.1891143,0.2403593,29
0.59689337,0.2670584,-1.1891143,0.43670917,30
1.1518404,0.5295041,-1.1891143,0.14895506,31
0.78841156,0.22959113,-1.1891143,0.25051534,32
1.1518401,0.29164273,-1.1891143,0.18957916,33
0.059691187,0.2583897,-1.1891143,0.27082738,34
1.2284821,-0.240406,-1.1891143,0.18957916,35
0.5387036,-0.5064307,-1.1891143,0.48410398,36
-2.6323586,2.569477,-1.1891143,0.14798783,37
1.0169072,0.726221,-1.0490347,1.2593474,38
1.1828419,0.55343294,-1.0490347,0.1760378,39
1.2824029,0.726221,-1.0490347,0.17603779,40
1.1082761,0.33726552,-1.0490347,0.96482253,41
0.120859,1.5901607,-1.0490347,0.118486986,42
0.28679407,1.0717971,-1.0490347,0.21666192,43
0.23000836,0.70957994,-1.0490347,0.68383914,44
0.0663374,-0.1582889,-1.0490347,0.9851346,45
0.2195313,0.03352761,-1.0490347,0.9140425,46
0.43958873,0.4958372,-1.0490347,5.3725395,47
0.6251166,0.59982985,-1.0490347,12.715347,48
0.61866385,0.26545328,-1.0490347,0.19634984,49
-0.227716,1.4222468,-0.9089543,0.1997352,50
0.57702446,1.1562221,-0.9089543,0.23697396,51
2.148186,0.6241734,-0.9089543,0.257286,52
0.347099,0.7106697,-0.9089543,0.4807186,53
0.49041075,0.5740669,-0.9089543,4.925673,54
0.82970417,0.7038422,-0.9089543,0.19634986,55
1.0943589,0.72393256,-0.9089543,0.4062411,56
0.53968614,0.33936197,-0.9089543,2.1226099,57
0.35389286,0.021687968,-0.9089543,1.8246996,58
0.8069508,0.077302,-0.9089543,1.4455413,59
-0.17023487,-0.007634804,-0.9089543,0.22681794,60
0.0022100634,-0.10739398,-0.9089543,0.12187233,61
0.21791835,-0.093450345,-0.9089543,0.54842544,62
0.5961853,-0.4066712,-0.9089543,0.17603779,63
0.9837201,1.0142008,-0.7688747,0.22004725,64
0.8509724,0.55343294,-0.7688747,0.32499292,65
1.2492157,1.0142008,-0.7688747,0.25390068,66
1.912955,1.129393,-0.7688747,0.7380047,67
0.47468746,1.2826941,-0.7688747,0.33176354,68
-0.54818654,1.6277742,-0.7688747,0.9309691,69
-0.025166327,0.23089932,-0.7688747,0.13541369,70
0.31998113,0.55343294,-0.7688747,0.31483683,71
0.44552755,0.49583706,-0.7688747,0.45702124,72
0.49056843,0.66862494,-0.7688747,0.633059,73
0.25360668,0.3230492,-0.7688747,0.34530497,74
0.61118716,0.4656834,-0.7688747,0.63644433,75
0.6881483,0.61102885,-0.7688747,0.9682079,76
0.51910293,-0.13771886,-0.7688747,0.37577298,77
0.7182241,0.2078572,-0.7688747,0.2234326,78
