x0,x1,x2,weight,indices
-0.46766552,-0.6714967,-2.4883237,0.040099744,0
-0.41392502,-0.62581885,-2.324789,0.038692735,1
-0.44527766,-0.5908239,-2.2930408,0.03658222,2
-1.0171275,-1.0339687,-2.0977569,0.083013505,3
-0.38441378,-0.50673693,-1.9238411,0.041717235,4
0.664559,-0.60559285,-1.8158191,0.027533375,5
0.19375259,-0.6525607,-1.599774,0.10512743,6
-0.03475627,0.44887033,-1.599774,0.035042476,7
-0.61751884,-0.6032381,-1.5680257,0.20334306,8
-0.01810584,0.41591823,-1.5680257,0.07455913,9
-0.48431593,-0.77035266,-1.349457,5.332509,10
-0.20865199,0.036355358,-1.349457,0.25622666,11
-0.26189557,-0.32394433,-1.349457,9.094381,12
-0.39820117,-0.26877987,-1.349457,0.7686799,13
-0.42276585,-0.10281592,-1.349457,0.5157809,14
-0.4343649,-0.47378516,-1.349457,0.26288188,15
0.21499908,-0.50673693,-1.349457,0.37602094,16
0.115097046,-0.37492892,-1.349457,2.3010483,17
0.000102632155,-0.5341849,-1.1480731,0.2403593,18
-0.15530129,-0.79737705,-1.1480731,0.4536359,19
-0.317242,-0.7403026,-1.1480731,0.54165477,20
-0.22504257,-0.28572673,-1.1480731,26.307495,21
-0.45613128,-0.31616688,-1.1480731,0.3520756,22
-0.6455688,-0.62615347,-1.1480731,0.20650588,23
-0.674408,-0.3407814,-1.1480731,0.23358862,24
0.10833752,0.11581461,-1.1480731,0.43332386,25
0.046573706,-0.05540865,-1.1480731,0.16249646,26
-0.70324737,-0.05540865,-1.1480731,0.20650588,27
-3.6274745,2.8173401,-1.1480731,2.1903167,28
0.7387162,1.2002301,-1.1480731,0.21666192,29
2.8151433,-0.6451784,-1.1480731,0.087426715,30
1.3305732,-2.5168073,-0.9466892,0.13202836,31
0.16504806,-0.80330473,-0.9466892,0.24712999,32
-0.1941874,-0.22034465,-0.9466892,14.6331415,33
-0.23456088,-0.5679089,-0.9466892,0.9749787,34
-0.41071546,-0.06276006,-0.9466892,0.14556974,35
-0.48431593,-0.17721766,-0.9466892,0.20650588,36
-0.53426707,0.11935044,-0.9466892,0.17603779,37
-0.53426707,-0.078361735,-0.9466892,0.12525767,38
-1.033778,-0.012457262,-0.9466892,0.5179574,39
