x0,x1,x2,weight,indices
0.15608673,1.8256537,-1.6607988,0.32407877,0
0.19995016,6.4484253,-1.6365558,0.845373,1
0.9706935,-7.0074487,-1.5862395,0.056843147,2
1.1085501,0.17589127,-1.5619963,0.06753641,3
0.018230423,-0.13343921,-1.5619963,0.040099744,4
-0.8214411,0.31337157,-1.4371214,0.06753641,5
0.23128112,0.38211173,-1.3625621,0.0492453,6
-0.09456177,-0.37402937,-1.3383182,0.03798923,7
10.182016,7.3248615,-1.3383182,0.1629316,8
0.19368413,0.34774143,-1.2880026,0.2947683,9
0.20040646,0.34056777,-1.2637596,0.94093704,10
-0.32014453,-0.1678092,-1.2637596,0.06120487,11
9.279684,4.437777,-1.2637596,0.012381677,12
0.09365327,0.23296596,-1.2134433,0.0816065,13
0.17730728,0.3364546,-1.2134433,1.9363954,14
0.08089214,0.03841127,-1.2134433,0.03798923,15
0.20771083,0.10762589,-1.2134433,0.24622652,16
-0.20735314,1.7225435,-1.1892003,0.037285727,17
-0.28254837,1.8204132,-1.1892003,0.028843675,18
0.7701749,0.8289221,-1.1892003,0.12452027,19
0.50699437,1.0695125,-1.1892003,0.4942118,20
0.5445917,0.62270194,-1.1892003,0.09356606,21
0.28141078,0.31337142,-1.1892003,0.07316444,22
0.018230014,0.55396163,-1.1892003,0.03798923,23
0.18276528,0.33092964,-1.1892003,4.2906723,24
0.22122535,0.0076824166,-1.1892003,0.33627504,25
0.07493511,0.17236657,-1.1892003,0.09497308,26
0.055827618,0.03841127,-1.1892003,0.02954718,27
0.018230423,-0.064699054,-1.1892003,0.03095419,28
-0.16975616,0.10715126,-1.1892003,0.04572778,29
0.15608673,1.2069926,-1.1388847,0.0499488,30
0.08089214,0.72581196,-1.1388847,0.0668329,31
0.1570168,0.3286528,-1.1388847,7.842666,32
0.0056979577,0.10715126,-1.1388847,0.021105127,33
0.23128112,-0.030329052,-1.1388847,0.021105127,34
0.19368413,-0.13343921,-1.1388847,0.03587872,35
-0.2950796,0.51959175,-1.1388847,0.051355813,36
0.53205925,-0.64899,-1.1388847,0.07316444,37
1.0333558,0.24463126,-1.1146408,0.17165503,38
0.6573833,0.51959175,-1.1146408,0.02954718,39
0.3566056,0.5883318,-1.1146408,0.07035043,40
0.19051959,0.6026815,-1.1146408,0.14281139,41
-0.09456177,0.79455215,-1.1146408,0.13366581,42
-0.01936718,0.5675444,-1.1146408,0.08582752,43
0.14930955,0.3161892,-1.1146408,9.447358,44
0.018230423,0.21026126,-1.1146408,0.02462265,45
-0.48764402,0.8789335,-1.1146408,0.047134787,46
0.43179977,-0.030329052,-1.1146408,0.033768207,47
0.23226893,-0.2603655,-1.1146408,0.118188724,48
-0.09456177,0.038411107,-1.1146408,0.047134787,49
-1.325836,0.35057336,-1.1146408,0.18512732,50
