x0,x1,x2,weight,indices
0.44668248,1.493166,-2.5932875,0.008145606,0
-0.9705731,0.043812063,-2.5932875,0.018153066,1
0.46242982,1.4735799,-2.56153,0.015195694,2
-0.9548258,0.024225954,-2.56153,0.028984375,3
-0.94125766,0.016794097,-2.495618,0.04727549,4
-0.90269953,0.0066651404,-2.463861,0.086108916,5
-0.9705731,-0.03453139,-2.3979487,0.013507281,6
-0.9548258,-0.0541175,-2.3661916,0.014632889,7
-0.9705731,-0.07370312,-2.3002806,0.010974667,8
-0.9548258,-0.093288735,-2.2685223,0.012944479,9
-0.9705731,-0.11287435,-2.2026112,0.037145022,10
-0.9548258,-0.13246095,-2.170853,0.022230737,11
-0.9705731,-0.15204658,-2.1049418,0.0166027,12
-0.9548258,-0.17163219,-2.0731845,0.011256069,13
-0.9705731,-0.1912178,-2.0072725,0.011256069,14
0.50967157,1.3364788,-1.9755152,0.03877667,15
-0.9548258,-0.2108044,-1.9755152,0.027014563,16
-0.9705731,-0.23039003,-1.9096042,0.011818872,17
-0.9548258,-0.24997564,-1.877846,0.008442052,18
-0.9705731,-0.26956126,-1.8119348,0.08723453,19
0.5569136,1.2777212,-1.7801766,0.018791,20
-0.9548258,-0.28914785,-1.7801766,0.012682039,21
-0.9548258,-0.32831958,-1.6721244,0.03137136,22
-0.9705731,-0.3479052,-1.5958294,0.026699029,23
-0.9548258,-0.3674913,-1.5640721,0.013683253,24
-0.9233312,-0.40666303,-1.4877771,0.012348302,25
-0.9548258,-0.40666303,-1.4560189,0.015351943,26
1.4860034,1.5323377,-1.3797239,0.05439927,27
-0.9705731,-0.4654204,-1.3797239,0.013015777,28
1.4545088,1.5323377,-1.3479667,0.14911826,29
-1.3800025,-0.26956126,-1.3479667,0.15544449,30
-0.9548258,-0.44583428,-1.3479667,0.11477587,31
-1.0493095,-0.3674913,-1.3479667,0.028919905,32
0.7301336,1.297307,-1.1293368,0.14389282,33
0.7301336,1.453994,-1.1293368,0.119910695,34
-0.025736077,0.9447615,-1.1293368,0.11448594,35
0.63565,0.9839335,-1.1293368,0.051181946,36
0.6828919,1.1210345,-1.1293368,0.07138535,37
-0.94317174,-0.5527563,-1.1293368,1.501786,38
0.6721104,1.5725816,-0.9278965,2.3940687,39
0.9721365,0.9958784,-0.9278965,0.089066744,40
0.7518099,1.165497,-0.9278965,0.08906675,41
0.7025382,1.0598046,-0.9278965,8.050949,42
0.56301016,1.165497,-0.9278965,0.06577237,43
1.2176124,1.0976497,-0.9278965,0.579619,44
1.1357872,0.9280312,-0.9278965,0.108250365,45
0.6448355,0.9280312,-0.9278965,0.080845214,46
0.6175603,0.7584124,-0.9278965,0.053440053,47
-1.1007708,-0.6098438,-0.9278965,0.056180567,48
-0.5552689,-0.7455382,-0.9278965,0.40011522,49
-1.5644475,-0.93777233,-0.9278965,0.06303185,50
-1.8099234,-0.8360018,-0.9278965,0.056180567,51
-0.025736077,1.453994,-0.7264562,0.24804789,52
0.39944077,1.2777212,-0.7264562,0.07673442,53
0.87185925,1.316893,-0.7264562,0.1589499,54
0.4939242,0.768489,-0.7264562,0.37133986,55
0.7301336,0.74890316,-0.7264562,0.20827918,56
0.4939242,0.8468322,-0.7264562,0.18772529,57
0.44668248,0.90559006,-0.7264562,0.07947494,58
0.8246174,0.7880746,-0.7264562,0.78104687,59
0.63565,0.90559006,-0.7264562,0.100028805,60
0.7249862,1.0165812,-0.7264562,16.355396,61
1.1080683,0.90559006,-0.7264562,0.06577237,62
0.9471481,1.00171,-0.7264562,1.0181015,63
1.0608268,1.0192281,-0.7264562,0.17265247,64
0.8718591,1.1210345,-0.7264562,0.0712534,65
1.2025522,1.0622767,-0.7264562,0.080845214,66
-0.21470352,0.67055994,-0.7264562,0.09591803,67
0.63565,0.35718614,-0.7264562,0.15894988,68
0.7301336,0.47470105,-0.7264562,0.11921242,69
0.8718591,-0.2108044,-0.7264562,0.2754218,70
-1.3957498,-0.56334895,-0.7264562,0.069883145,71
-0.94334704,-0.71173793,-0.7264562,4.3656406,72
-1.0178149,-0.6416924,-0.7264562,0.09728829,73
-0.82884747,-0.6578963,-0.7264562,0.36037776,74
-0.49815458,-0.26956126,-0.7264562,0.06577237,75
-2.6712797,-0.93548113,-0.7264562,0.20416838,76
-0.69161487,-0.75081724,-0.7264562,0.37956136,77
-0.52964914,-0.8179659,-0.7264562,0.073993914,78
-0.9641231,-0.8217481,-0.7264562,0.6810181,79
-0.9548258,-0.915895,-0.7264562,0.09317752,80
1.108512,1.165497,-0.52501595,0.13154474,81
1.064449,0.94891125,-0.52501595,0.3781911,82
0.7539357,1.1994208,-0.52501595,0.06029134,83
0.94486153,0.96195453,-0.52501595,0.20142786,84
0.7779269,0.96476364,-0.52501595,5.977063,85
0.58021915,1.1440929,-0.52501595,0.1137314,86
0.6448355,1.0637256,-0.52501595,0.14661758,87
-0.5007187,1.0637256,-0.52501595,0.17950375,88
0.56301016,0.96195453,-0.52501595,0.1520986,89
0.37208426,0.9280312,-0.52501595,0.106880106,90
0.45390975,0.8262597,-0.52501595,0.072623655,91
0.07205833,1.165497,-0.52501595,0.061661594,92
0.23570894,0.7584124,-0.52501595,0.46177688,93
0.8756763,0.8759054,-0.52501595,0.12058268,94
0.69938546,0.7923363,-0.52501595,0.12058268,95
0.78121096,0.6905652,-0.52501595,0.108250365,96
0.6299443,0.70596755,-0.52501595,0.33845365,97
0.7539357,0.5209465,-0.52501595,0.050699532,98
0.45390975,0.6905652,-0.52501595,0.07810468,99
0.49505198,0.53819364,-0.52501595,0.67827755,100
0.38920757,0.5918529,-0.52501595,1.5196158,101
-1.1825961,-0.50807226,-0.52501595,0.083585724,102
-1.2644215,-0.6098438,-0.52501595,0.22472227,103
-1.3462467,-0.71161485,-0.52501595,0.71664476,104
-0.47344363,-0.8020784,-0.52501595,0.1260637,105
-0.6872316,-0.84662807,-0.52501595,0.90025926,106
-0.79498094,-0.8770945,-0.52501595,0.41655833,107
0.63565,1.1797922,-0.3235747,0.1658012,108
1.3602484,1.2319281,-0.3235747,0.313789,109
1.1553102,1.3351732,-0.3235747,0.31104848,110
0.21047324,0.8860042,-0.3235747,0.21513046,111
0.14689232,1.0946746,-0.3235747,0.51932764,112
0.5884081,0.8468322,-0.3235747,0.057550825,113
0.54116625,0.90559006,-0.3235747,0.5659164,114
0.966343,0.78522205,-0.3235747,0.18909556,115
0.7677631,0.90631497,-0.3235747,4.19984,116
0.54116625,0.9839335,-0.3235747,0.2329438,117
0.9191011,0.8834581,-0.3235747,0.13976628,118
0.7440033,1.0288548,-0.3235747,0.3466752,119
0.63565,1.0622767,-0.3235747,0.053440053,120
0.5884081,1.1210345,-0.3235747,0.069883145,121
1.0392272,0.9861118,-0.3235747,0.59332156,122
1.1712286,0.89260334,-0.3235747,0.5604354,123
0.63565,0.63138795,-0.3235747,0.175393,124
1.2497941,0.45511544,-0.3235747,0.17950375,125
1.0608265,0.6509741,-0.3235747,0.052069794,126
-0.78160566,-0.26956126,-0.3235747,0.047959015,127
-1.1122986,-0.72003585,-0.3235747,0.08495598,128
-0.8763356,-0.70524776,-0.3235747,1.877253,129
-1.0178149,-0.6416924,-0.3235747,0.109620616,130
-1.0650568,-0.54376334,-0.3235747,0.15483911,131
-1.3242683,-0.37702757,-0.3235747,0.14250681,132
-0.73436385,-0.6025212,-0.3235747,0.12332319,133
-0.59263825,-0.4654204,-0.3235747,0.09865855,134
-1.3327607,-0.8767233,-0.3235747,0.43300146,135
-1.191035,-0.8179659,-0.3235747,0.053440053,136
-0.576891,-0.79837984,-0.3235747,0.07947494,137
-0.576891,-0.8767233,-0.3235747,0.13017447,138
-0.9281007,-0.8666373,-0.3235747,31.134995,139
-0.576891,-1.0725814,-0.3235747,0.08495598,140
-0.7658584,-1.0152472,-0.3235747,0.15346885,141
-0.576891,-1.1900971,-0.3235747,0.108250365,142
-0.26194522,-0.915895,-0.3235747,0.17128223,143
1.5994638,1.369039,-0.12213442,0.5508436,144
1.1870989,1.1619028,-0.12213442,0.46040657,145
0.9314433,0.94526553,-0.12213442,0.19320633,146
0.61106,1.2333441,-0.12213442,0.40833676,147
0.78121096,1.0298022,-0.12213442,0.072623655,148
0.6175603,1.165497,-0.12213442,0.09454778,149
0.6721104,1.0976497,-0.12213442,0.59332156,150
0.56301016,1.0976495,-0.12213442,0.16032015,151
0.6721104,0.96195453,-0.12213442,0.18224427,152
1.2176124,0.8941071,-0.12213442,0.6988314,153
0.5357351,0.9280312,-0.12213442,0.061661594,154
0.45390975,0.8262597,-0.12213442,0.09591803,155
0.027325613,0.7027756,-0.12213442,0.29597566,156
1.0677582,0.74125326,-0.12213442,0.16032016,157
0.84717,0.87991744,-0.12213442,0.5549544,158
0.7059868,0.8847404,-0.12213442,0.47547942,159
0.82428676,0.7584122,-0.12213442,1.0962062,160
0.94486153,0.6227178,-0.12213442,0.68101805,161
0.48118484,0.7244886,-0.12213442,0.06440211,162
0.56301016,0.55487007,-0.12213442,0.27405152,163
0.46974468,0.4870224,-0.12213442,1.1147046,164
0.18115865,0.6227178,-0.12213442,0.23157355,165
-1.1825961,-0.37237784,-0.12213442,0.083585724,166
-0.63709414,-0.39499325,-0.12213442,0.3494157,167
-0.5552689,-0.63245916,-0.12213442,0.09591803,168
-1.2385125,-0.94109875,-0.12213442,0.58510005,169
-1.0918369,-0.8545053,-0.12213442,0.33160236,170
-0.9460017,-0.9601277,-0.12213442,9.83571,171
-1.0580906,-0.7521811,-0.12213442,0.9098511,172
-1.051874,-0.61687523,-0.12213442,1.047562,173
-0.93508226,-0.6751575,-0.12213442,0.893408,174
-0.80074483,-0.7794625,-0.12213442,0.06851288,175
-0.85529494,-0.71161485,-0.12213442,0.25075716,176
-0.7598321,-0.69465315,-0.12213442,0.15894988,177
-0.309793,-1.0734677,-0.12213442,0.1493581,178
-0.6501356,-0.71801007,-0.12213442,0.98521525,179
-0.4461685,-0.9716962,-0.12213442,0.12332319,180
-0.63709414,-0.8020784,-0.12213442,0.180874,181
-0.537984,-0.9481683,-0.12213442,0.5412518,182
-0.81507695,-0.941643,-0.12213442,3.6065178,183
-1.1618966,-1.0278113,-0.12213442,0.28638387,184
-1.2916965,-1.0508513,-0.12213442,0.12743397,185
-1.2916965,-1.1186996,-0.12213442,0.50562507,186
-1.4007969,-1.2543939,-0.12213442,0.053440053,187
-1.7008231,-1.2430865,-0.12213442,0.2754218,188
-1.5098974,-1.480552,-0.12213442,0.05892108,189
-0.7711075,2.1329706,0.079305865,1.2187234,190
1.0135849,1.1406201,0.079305865,0.22746278,191
0.3521989,0.74890316,0.079305865,2.2986073,192
0.85949695,0.68502027,0.079305865,2.0875874,193
0.72644216,0.78654414,0.079305865,1.0626348,194
0.7026115,0.89417976,0.079305865,0.3891532,195
1.0135849,0.7880746,0.079305865,0.04658876,196
0.5884081,0.96434766,0.079305865,0.19320633,197
0.6828919,0.96434766,0.079305865,0.31515926,198
1.0135849,0.86641806,0.079305865,0.18224427,199
0.8718591,0.92517567,0.079305865,0.1356555,200
1.1080683,0.86641806,0.079305865,0.10413959,201
1.0608265,0.92517567,0.079305865,0.056180567,202
0.6828919,1.0818626,0.079305865,0.054810308,203
1.297036,0.74890316,0.079305865,0.28227308,204
1.5903813,1.0924963,0.079305865,0.38230193,205
0.63565,0.27884242,0.079305865,0.18361452,206
0.3521989,0.5922165,0.079305865,0.052069794,207
0.5884081,0.6118021,0.079305865,0.701572,208
1.1080683,0.3963576,0.079305865,3.1892748,209
1.1080683,0.5530445,0.079305865,0.06714263,210
1.3442777,0.49428692,0.079305865,0.09591803,211
1.1080683,0.67055994,0.079305865,0.073993914,212
-1.4429916,0.20049897,0.079305865,0.4823307,213
-0.9233312,-0.485006,0.079305865,0.07536417,214
-1.0650568,-0.6221068,0.079305865,0.17676324,215
-1.2067823,-0.68086463,0.079305865,0.5097359,216
-0.49815458,-0.6221068,0.079305865,0.16854171,217
-1.1595404,-1.0406379,0.079305865,0.37545064,218
-1.2067823,-1.1509248,0.079305865,0.080845214,219
-1.2943816,-1.0826402,0.079305865,0.5686569,220
-1.4429916,-1.1705115,0.079305865,0.08495598,221
-1.6319591,-1.1313392,0.079305865,0.28090283,222
-1.8209264,-1.092168,0.079305865,0.07536417,223
-0.5453964,-1.1117536,0.079305865,0.12332319,224
-0.59263825,-0.8571376,0.079305865,0.271311,225
-0.687122,-0.7496857,0.079305865,0.60702413,226
-0.75785583,-0.86698335,0.079305865,0.11373139,227
-0.78160566,-0.7396225,0.079305865,0.07947494,228
-0.86044806,-1.1378239,0.079305865,1.9745413,229
-0.87608933,-0.8179659,0.079305865,0.23568432,230
-0.92800045,-1.0454152,0.079305865,15.916914,231
-1.8209264,-1.4055413,0.079305865,0.20827918,232
-1.1269095,-1.2072046,0.079305865,0.75775254,233
-0.9705731,-1.3663701,0.079305865,0.06851288,234
-0.78160566,-1.3271984,0.079305865,0.18635504,235
-0.26194522,-1.6601573,0.079305865,0.1260637,236
-0.6398801,-1.2684405,0.079305865,0.11921242,237
0.115989484,-1.3859557,0.079305865,0.057550825,238
0.55223984,0.98852414,0.28074613,0.26720023,239
0.5884081,1.0818626,0.28074613,0.06303185,240
0.7301336,1.1406201,0.28074613,0.40559626,241
0.8246175,0.8893464,0.28074613,0.16443093,242
0.9191011,0.9839335,0.28074613,0.057550825,243
1.3442777,0.92517567,0.28074613,0.14524731,244
1.0135849,1.0622767,0.28074613,0.175393,245
1.690718,1.0035192,0.28074613,0.1493581,246
0.3521989,0.4355296,0.28074613,0.05892108,247
0.9338303,0.52822137,0.28074613,1.8895854,248
0.7773753,0.6509741,0.28074613,0.06029134,249
0.9191011,0.63138795,0.28074613,0.13702576,250
0.6828917,0.74516916,0.28074613,0.16032015,251
0.8333781,0.7060995,0.28074613,0.46177685,252
0.9440912,0.77771384,0.28074613,0.097288296,253
1.1080683,0.74890316,0.28074613,0.052069794,254
1.4860034,0.35718587,0.28074613,0.10002881,255
1.1553102,0.57263064,0.28074613,0.089066744,256
0.39944077,-0.0541175,0.28074613,0.22198175,257
-1.0650568,-0.3479052,0.28074613,0.17128223,258
-1.0650568,-0.4654204,0.28074613,0.08495598,259
-1.3485079,1.5715094,0.48218644,0.13291499,260
0.068747684,1.0622767,0.48218644,0.07947494,261
0.91910094,0.9700498,0.48218644,0.14661758,262
0.648194,0.7149321,0.48218644,0.6289482,263
0.7773753,0.6509741,0.48218644,0.313789,264
0.9191011,0.63138795,0.48218644,0.057550825,265
0.966343,0.69014555,0.48218644,0.59880257,266
0.8718591,0.72931755,0.48218644,0.23979509,267
